ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial
False,False,0.0,0,0.0,all_box,box,box,0.15,49
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,0
True,False,0.0011484999995445833,2,0.0008601250010542572,mixed,vhacd,box,0.15,1
True,False,0.0009999580070143566,2,0.0007040840137051418,mixed,vhacd,box,0.15,2
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,3
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,4
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,5
True,False,0.001065958000253886,2,0.0007604579877806827,mixed,vhacd,box,0.15,6
True,True,0.007700041998759843,22,0.006744999991497025,mixed,vhacd,box,0.15,7
True,False,0.0010822499898495153,2,0.0007937079935800284,mixed,vhacd,box,0.15,8
True,True,0.006939500002772547,22,0.006117919008829631,mixed,vhacd,box,0.15,9
True,True,0.1063446250045672,292,0.08266272096079774,mixed,vhacd,box,0.15,10
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,11
True,False,0.001064291995135136,2,0.0007732090016361326,mixed,vhacd,box,0.15,12
True,False,0.0009489590011071414,2,0.0006912079988978803,mixed,vhacd,box,0.15,13
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,14
True,False,0.0011263750056969002,2,0.0008710840047569945,mixed,vhacd,box,0.15,15
True,True,0.8069378340005642,663,0.19939683019765653,mixed,vhacd,box,0.15,16
True,True,0.010126708002644591,32,0.00903746001131367,mixed,vhacd,box,0.15,17
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,18
True,False,0.0011953750072279945,2,0.000936541982810013,mixed,vhacd,box,0.15,19
True,False,0.0010040000051958486,2,0.0007592909969389439,mixed,vhacd,box,0.15,20
True,False,0.0010014160070568323,2,0.000760875002015382,mixed,vhacd,box,0.15,21
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,22
True,True,0.007297916003153659,22,0.006449211039580405,mixed,vhacd,box,0.15,23
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,24
True,True,0.01028654100082349,32,0.00917808702797629,mixed,vhacd,box,0.15,25
True,False,0.0011160830035805702,2,0.0008585420000599697,mixed,vhacd,box,0.15,26
True,True,0.011133584004710428,32,0.009943627010216005,mixed,vhacd,box,0.15,27
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,28
True,True,0.007128665994969197,22,0.006312000026809983,mixed,vhacd,box,0.15,29
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,30
True,False,0.0008439590019406751,2,0.0005771249998360872,mixed,vhacd,box,0.15,31
True,False,0.0008041670080274343,2,0.0005674999993061647,mixed,vhacd,box,0.15,32
True,False,0.0009894169925246388,2,0.0007139990048017353,mixed,vhacd,box,0.15,33
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,34
True,False,0.0008799579954938963,2,0.0006057919963495806,mixed,vhacd,box,0.15,35
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,36
True,False,0.0009312079928349704,2,0.0006582490022992715,mixed,vhacd,box,0.15,37
True,True,0.007164291993831284,22,0.0063443739782087505,mixed,vhacd,box,0.15,38
True,True,0.08016904200485442,201,0.06045321188867092,mixed,vhacd,box,0.15,39
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,40
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,41
True,True,0.0073467080073896796,22,0.006485540958237834,mixed,vhacd,box,0.15,42
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,43
True,False,0.0010211250046268106,2,0.0007288750057341531,mixed,vhacd,box,0.15,44
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,45
True,True,0.01106733299093321,32,0.00987429499218706,mixed,vhacd,box,0.15,46
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,47
True,False,0.0012892079976154491,2,0.0009506249916739762,mixed,vhacd,box,0.15,48
False,False,0.0,0,0.0,mixed,vhacd,box,0.15,49
