ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial,gate_sep_sweep
False,False,0.0,0,0.0,all_box,box,box,0.17,3,0.17
False,False,0.0,0,0.0,all_box,box,box,0.17,4,0.17
False,False,0.0,0,0.0,all_box,box,box,0.17,5,0.17
True,False,0.0009817919926717877,2,0.0006937500002095476,all_box,box,box,0.17,6,0.17
True,True,0.006755624999641441,22,0.00589046097593382,all_box,box,box,0.17,7,0.17
True,True,0.006726625011651777,22,0.005890252024983056,all_box,box,box,0.17,8,0.17
True,True,0.006457666997448541,22,0.005604498946922831,all_box,box,box,0.17,9,0.17
True,True,0.10690633300691843,312,0.0791581771482015,all_box,box,box,0.17,10,0.17
False,False,0.0,0,0.0,all_box,box,box,0.17,11,0.17
True,True,0.006261832997552119,22,0.00544737497693859,all_box,box,box,0.17,12,0.17
True,True,0.06579779200546909,196,0.04746174694446381,all_box,box,box,0.17,13,0.17
False,False,0.0,0,0.0,all_box,box,box,0.17,14,0.17
True,False,0.000983666002866812,2,0.0007082079973770306,all_box,box,box,0.17,15,0.17
True,False,0.0010612500045681372,2,0.0007930830033728853,all_box,box,box,0.17,16,0.17
True,True,0.009028082989971153,32,0.007926166945253499,all_box,box,box,0.17,17,0.17
False,False,0.0,0,0.0,all_box,box,box,0.17,18,0.17
True,True,0.006537791996379383,22,0.00569412401819136,all_box,box,box,0.17,19,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,0,0.19
True,False,0.0008416670025326312,2,0.0006007920019328594,all_vhacd,vhacd,vhacd,0.19,1,0.19
True,True,0.006281041001784615,22,0.005497249978361651,all_vhacd,vhacd,vhacd,0.19,2,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,3,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,4,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,5,0.19
True,True,0.2005268749926472,487,0.1229128651029896,all_vhacd,vhacd,vhacd,0.19,6,0.19
True,True,0.00625358299294021,22,0.005465668000397272,all_vhacd,vhacd,vhacd,0.19,7,0.19
True,True,0.006164708000142127,22,0.005375913984607905,all_vhacd,vhacd,vhacd,0.19,8,0.19
True,True,0.005999791988870129,22,0.005222791020059958,all_vhacd,vhacd,vhacd,0.19,9,0.19
True,True,0.10245004101307131,314,0.07515774905914441,all_vhacd,vhacd,vhacd,0.19,10,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,11,0.19
